"University","city","Rank","institutionalControl","Tuition","S.F.Ratio","perc.alumni","Expend","Grad.Rate","number_Undergrads","Acceptance_rate","Crime_Rate","Unemployment","Cost_of_Living","Median_Income","AVG_C_two_I","1p1c","Diversity_Rank_Race","Crime.Rate"
"Baker University","Baldwin",263,"private",31600,11,21,6136,65,1424,80.23255814,"18/1000",0.0241,79155.41,77884.76,1.0163,0.7133,2629,0.018
"Brown University","Providence",13,"private",62404,7.6,39,20440,97,5992,25.73494359,"24/1000",0.0361,74675.93,77648.59,0.9617,0.7413,2993,0.024
"Case Western Reserve University","Cleveland",43,"private",54020,2.9,29,19733,67,3564,81.40314676,"16/1000",0.0404,62872.48,57405.74,1.0952,0.8106,591,0.016
"Clark University","Worcester",102,"private",50302,10.5,35,11951,79,2224,71.31970904,"19/1000",0.0407,91083.44,98978.84,0.9202,0.7121,3075,0.019
"Columbia University","New York",1,"private",63530,5.9,21,30639,99,3431,28.56719953,"21/1000",0.048,137874.7,112986.8,1.2203,0.8912,3100,0.021
"D'Youville College","Buffalo",312,"private",29998,14.6,42,6898,46,1410,71.47806005,"19/1000",0.0203,76943.16,81899.65,0.9395,0.6648,2449,0.019
"Dartmouth College","Hanover",12,"private",60870,4.7,49,29619,98,3950,26.47024572,"13/1000",0.0251,85680.64,107879.38,0.7942,0.613,2392,0.013
"Drake University","Des Moines",136,"private",45962,15,24,9473,77,4048,91.92568775,"48/1000",0.0436,65297.47,68691.58,0.9506,0.7527,1485,0.048
"Duke University","Durham",9,"private",60489,5,44,27206,97,6241,28.23264921,"36/1000",0.0328,78649.39,83442.97,0.9426,0.7288,2790,0.036
"East Carolina University","Greenville",213,"public",23593,13.2,18,9002,58,14858,68.60038818,"31/1000",0.0288,67982.82,77889.89,0.8728,0.6735,2905,0.031
"Florida International University","Miami",162,"public",18964,13.9,20,6722,66,19518,62.88566243,"42/1000",0.027,84609.15,59423.45,1.4238,1.1001,3129,0.042
"Fordham University","New York",67,"private",55776,14.4,14,10864,80,6386,68.42857143,"21/1000",0.048,137874.7,112986.8,1.2203,0.8912,3100,0.021
"Gannon University","Erie",226,"private",34526,13.3,18,7711,65,3384,77.43506494,"27/1000",0.0372,80310.56,80262.88,1.0006,0.7222,3053,0.027
"George Mason University","Fairfax",150,"public",36579,19.3,7,6751,46,13350,76.52573855,"15/1000",0.0253,110032.5,148568.38,0.7406,0.5778,3039,0.015
"Georgetown University","Washington",22,"private",59957,7.2,27,19635,95,6287,25.91992803,"16/1000",0.0414,64647.98,72435.39,0.8925,0.6889,555,0.016
"Gonzaga University","Spokane",80,"private",48470,14.7,32,9553,69,2819,80.80593849,"52/1000",0.0505,71167.13,75818.78,0.9386,0.7183,3000,0.042
"Hampton University","Hampton",206,"private",29287,14,9,6791,70,5363,52.3126219,"37/1000",0.0298,60740.86,45242.98,1.3425,1.0195,1319,0.052
"Harding University","Searcy",249,"private",22470,17.7,37,6466,73,3341,62.05694364,"8/1000",0.047,60292.7,44428.71,1.3571,1.0395,795,0.037
"Hofstra University","Hempstead",163,"private",51360,13.9,10,10093,60,7884,78.8906839,"44/1000",0.0338,58857.6,54875.64,1.0726,0.8247,1223,0.008
"Johns Hopkins University","Baltimore",10,"private",58720,3.3,38,56233,90,5135,40.66556526,"33/1000",0.0342,79874.62,97940.72,0.8155,0.6477,3024,0.044
"Loyola Marymount University","Baltimore",76,"private",53051,14.2,10,11677,84,3994,70.64755839,"33/1000",0.0342,79874.62,97940.72,0.8155,0.6477,3024,0.033
"Marquette University","Milwaukee",86,"private",45766,13.5,25,9982,77,7820,89.28571429,"50/1000",0.0382,72420.6,66745.75,1.085,0.8386,3084,0.033
"Marshall University","Huntington",290,"private",19606,16.6,10,6203,50,10042,86.74869853,"3/1000",0.0272,64653.15,67793.11,0.9537,0.7094,1654,0.05
"Mercer University","Macon",165,"private",38746,9.2,15,8995,91,4203,72.96587927,"34/1000",0.0586,73326.27,70810.95,1.0355,0.7716,2839,0.003
"Michigan Technological University","Houghton",151,"public",38112,17,25,7473,65,5938,87.39495798,"13/1000",0.0509,70862.4,65154.17,1.0876,0.7883,2336,0.034
"Mississippi College","Clinton",330,"private",20302,16.5,18,6170,61,2416,64.81481481,"18/1000",0.0345,74205.88,72953.94,1.0172,0.7899,2567,0.013
"New York University","New York",27,"private",56500,7.8,16,21227,71,15222,53.28821539,"21/1000",0.048,137874.7,112986.8,1.2203,0.8912,3100,0.018
"Northern Illinois University","DeKalb",334,"public",12478,17.3,11,6086,56,16805,67.4294788,"50/1000",0.0324,76966.27,79286.38,0.9707,0.7552,3032,0.021
"Ohio University","Athens",180,"public",22810,20.4,13,8811,64,16171,75.27896217,"24/1000",0.0504,64828.28,64532.94,1.0046,0.7706,2326,0.05
"Oklahoma State University","Stillwater",186,"public",24539,15.3,14,6433,48,14488,86.53250774,"10/1000",0.023,74130.89,82390.47,0.8998,0.6662,2001,0.024
"Pace University","New York",218,"private",48830,13.8,10,10059,62,10188,45.42151163,"21/1000",0.048,137874.7,112986.8,1.2203,0.8912,3100,0.01
"Sacred Heart University","Fairfield",211,"private",45230,14.8,16,7120,82,3596,82.1846554,"45/1000",0.0494,65358.08,49046.35,1.3326,1.019,1399,0.021
"Saint Louis University","St. Louis",108,"private",48824,4.6,19,18367,67,5716,86.67273831,"29/1000",0.025,74576.04,90980.9,0.8197,0.6118,3087,0.045
"San Diego State University","San Diego",154,"public",20016,19.5,7,7930,41,21957,74.6649649,"22/1000",0.0357,106769,93476.09,1.1422,0.9024,3128,1.31818181818182e-06
"Santa Clara University","Santa Clara",56,"private",55860,13.9,19,10872,100,4019,69.14655387,"26/1000",0.0272,133914.75,144424.11,0.9272,0.7679,3121,0.026
"South Dakota State University","Brookings",294,"public",12809,15,29,5084,67,8103,92.23370146,"15/1000",0.0212,71049.89,89316.41,0.7955,0.5717,1953,0.015
